Common Name,Scientific Name,Count,Reporting Rate
Black Kite,Milvus migrans,289,0.15%
Australian Spotted Crake,Porzana fluminea,288,0.15%
Short-tailed Shearwater,Ardenna tenuirostris,268,0.14%
Glossy Ibis,Plegadis falcinellus,254,0.13%
Red-capped Robin,Petroica goodenovii,252,0.13%
Brown Songlark,Cincloramphus cruralis,245,0.13%
Wandering Whistling-Duck,Dendrocygna arcuata,242,0.12%
Black-chinned Honeyeater,Melithreptus gularis,235,0.12%
Fluttering Shearwater,Puffinus gavia,231,0.12%
Satin Flycatcher,Myiagra cyanoleuca,209,0.11%
Forest Raven,Corvus tasmanicus,208,0.11%
Duck spp,,208,0.11%
White-browed Woodswallow,Artamus superciliosus,206,0.11%
Plum-headed Finch,Neochmia modesta,204,0.10%
Black-necked Stork,Ephippiorhynchus asiaticus,202,0.10%
Little Friarbird,Philemon citreogularis,198,0.10%
Barn Owl,Tyto alba,198,0.10%
Horsfield's Bushlark,Mirafra javanica,196,0.10%
Pectoral Sandpiper,Calidris melanotos,190,0.10%
Fluttering/Hutton's Shearwater spp,,188,0.10%
Common Greenshank,Tringa nebularia,180,0.09%
Noisy Pitta,Pitta versicolor,179,0.09%
Gull-billed Tern spp,,176,0.09%
Australian Logrunner,Orthonyx temminckii,169,0.09%
Baillon's Crake,Zapornia pusilla,167,0.09%
Turquoise Parrot,Neophema pulchella,159,0.08%
Lesser Sand Plover,Charadrius mongolus,157,0.08%
Shy/White-capped Albatross spp,,156,0.08%
Common Greenfinch,Chloris chloris,152,0.08%
Grey Plover,Pluvialis squatarola,151,0.08%
White-throated Nightjar,Eurostopodus mystacalis,145,0.07%
Rufous Scrub-bird,Atrichornis rufescens,143,0.07%
Hooded Plover,Thinornis cucullatus,139,0.07%
Brown Goshawk/Collared Sparrowhawk spp,,132,0.07%
Great Knot,Calidris tenuirostris,130,0.07%
White-fronted Tern,Sterna striata,130,0.07%
Whiskered Tern,Chlidonias hybrida,128,0.07%
Arctic Jaeger,Stercorarius parasiticus,125,0.06%
Plumed Whistling-Duck,Dendrocygna eytoni,121,0.06%
Pomarine Jaeger,Stercorarius pomarinus,116,0.06%
Flesh-footed Shearwater,Ardenna carneipes,115,0.06%
Apostlebird,Struthidea cinerea,114,0.06%
Regent Honeyeater,Anthochaera phrygia,113,0.06%
Teal spp,,112,0.06%
Bush Stone-curlew,Burhinus grallarius,110,0.06%
Sanderling,Calidris alba,109,0.06%
Black Bittern,Ixobrychus flavicollis,109,0.06%
White-winged Black Tern,Chlidonias leucopterus,108,0.06%
Wood Sandpiper,Tringa glareola,107,0.05%
Wompoo Fruit-Dove,Megaloprepia magnifica,106,0.05%
Painted Honeyeater,Grantiella picta,106,0.05%
White-backed Swallow,Cheramoeca leucosterna,103,0.05%
Terek Sandpiper,Xenus cinereus,100,0.05%
Brown-capped Emerald-Dove,Chalcophaps longirostris,99,0.05%
Sooty Shearwater,Ardenna grisea,99,0.05%
Little Penguin,Eudyptula minor,99,0.05%
Fork-tailed Swift,Apus pacificus,97,0.05%
Emu,Dromaius novaehollandiae,97,0.05%
Olive Whistler,Pachycephala olivacea,94,0.05%
Barking Owl,Ninox connivens,92,0.05%
Banded Lapwing,Vanellus tricolor,89,0.05%
Australian Little Bittern,Ixobrychus dubius,89,0.05%
Small albatross spp,,89,0.05%
Marsh Sandpiper,Tringa stagnatilis,86,0.04%
King Quail,Synoicus chinensis,77,0.04%
Hutton's Shearwater,Puffinus huttoni,77,0.04%
Masked Woodswallow,Artamus personatus,75,0.04%
Australian Painted-Snipe,Rostratula australis,75,0.04%
Fairy Tern,Sternula nereis,73,0.04%
Pacific Gull,Larus pacificus,70,0.04%
Broad-billed Sandpiper,Calidris falcinellus,63,0.03%
Spectacled Monarch,Symposiachrus trivirgatus,61,0.03%
Spotted Harrier,Circus assimilis,61,0.03%
Australasian Bittern,Botaurus poiciloptilus,57,0.03%
Greater Sooty Owl,Tyto tenebricosa,55,0.03%
Nutmeg Mannikin,Lonchura punctulata,54,0.03%
Red-winged Parrot,Aprosmictus erythropterus,53,0.03%
Common Sandpiper,Actitis hypoleucos,53,0.03%
Russet-tailed Thrush,Zoothera heinei,47,0.02%
Black-eared Cuckoo,Chalcites osculans,46,0.02%
Black-browed Albatross,Thalassarche melanophris,44,0.02%
Black Falcon,Falco subniger,44,0.02%
Ground Parrot,Pezoporus wallicus,43,0.02%
Masked Owl,Tyto novaehollandiae,40,0.02%
Rose-crowned Fruit-Dove,Ptilinopus regina,39,0.02%
Comb-crested Jacana,Irediparra gallinacea,39,0.02%
Beach Stone-curlew,Esacus magnirostris,38,0.02%
Red-backed Button-quail,Turnix maculosus,37,0.02%
Brown Skua,Catharacta antarctica,36,0.02%
Helmeted Guineafowl,Numida meleagris,34,0.02%
Jaeger spp,,34,0.02%
Paradise Riflebird,Lophorina paradisea,33,0.02%
Long-tailed Jaeger,Stercorarius longicaudus,33,0.02%
Varied Triller,Lalage leucomela,29,0.01%
Domestic (Greylag) Goose,Anser anser,28,0.01%
Greater Sand Plover,Charadrius leschenaultii,26,0.01%
Long-toed Stint,Calidris subminuta,24,0.01%
Pale-yellow Robin,Tregellasia capito,23,0.01%
Short-tailed/Sooty Shearwater spp,,22,0.01%
Red-backed Fairy-wren,Malurus melanocephalus,19,0.01%
Budgerigar,Melopsittacus undulatus,18,0.01%
Singing Honeyeater,Gavicalis virescens,18,0.01%
Little Button-quail,Turnix velox,18,0.01%
Eastern Grass Owl,Tyto longimembris,17,0.01%
Wandering Tattler,Tringa incana,17,0.01%
