Gray Fantail,gryfan1
Spangled Drongo,spadro1
Paradise Riflebird,parrif1
White-eared Monarch,whemon1
Black-faced Monarch,blfmon1
Spectacled Monarch,spemon1
Magpie-lark,maglar1
Leaden Flycatcher,leafly2
Satin Flycatcher,satfly1
Restless Flycatcher,resfly1
Shining Flycatcher,shifly1
White-winged Chough,whwcho1
Apostlebird,apostl1
House Crow,houcro1
Torresian Crow,torcro2
Little Crow,litcro1
Australian Raven,ausrav1
Little Raven,litrav1
Forest Raven,forrav1
Red-capped Robin,recrob1
Rose Robin,rosrob1
Pink Robin,pinrob1
Flame Robin,flarob1
Scarlet Robin,scarob2
Jacky-winter,jacwin1
Southern Scrub-Robin,sosrob1
Hooded Robin,hoorob1
Eastern Yellow Robin,yelrob1
Pale-yellow Robin,payrob1
Singing Bushlark,sinbus6
Eurasian Skylark,skylar
Golden-headed Cisticola,gohcis1
Oriental Reed Warbler,orrwar1
Australian Reed Warbler,aurwar1
Spinifexbird,spibir1
Little Grassbird,litgra1
Brown Songlark,broson1
Rufous Songlark,rufson1
Tawny Grassbird,tawgra3
White-backed Swallow,whbswa3
Welcome Swallow,welswa1
Barn Swallow,barswa
Fairy Martin,faimar2
Tree Martin,tremar2
Red-whiskered Bulbul,rewbul
Silvereye,silver3
European Starling,eursta
Rosy Starling,rossta2
Common Myna,commyn
Bassian Thrush,oltthr1
Russet-tailed Thrush,rutthr1
Song Thrush,sonthr1
Eurasian Blackbird,eurbla
Mistletoebird,mistle1
White-winged Widowbird,whwwid1
Diamond Firetail,diafir1
Beautiful Firetail,beafir1
Crimson Finch,crifin1
Red-browed Firetail,rebfir1
Painted Firetail,paifir1
Plum-headed Finch,plhfin1
Double-barred Finch,dobfin1
Zebra Finch,zebfin2
Scaly-breasted Munia,nutman
Chestnut-breasted Munia,chbmun1
Gouldian Finch,goufin3
House Sparrow,houspa
Eurasian Tree Sparrow,eutspa
Gray Wagtail,grywag
Eastern Yellow Wagtail,eaywag
Citrine Wagtail,citwag
White Wagtail,whiwag
Australian Pipit,auspip2
European Greenfinch,eurgre1
Lesser Redpoll,lesred1
European Goldfinch,eurgol
